Date,Year,Daily.Count
2-Jul,2014,1906
3-Jul,2014,1438
4-Jul,2014,1965
5-Jul,2014,1290
6-Jul,2014,1316
7-Jul,2014,2190
8-Jul,2014,2285
9-Jul,2014,1994
10-Jul,2014,2773
11-Jul,2014,1831
12-Jul,2014,2420
13-Jul,2014,2441
14-Jul,2014,2779
15-Jul,2014,2496
16-Jul,2014,2192
17-Jul,2014,2216
18-Jul,2014,2900
19-Jul,2014,1951
20-Jul,2014,1232
21-Jul,2014,1758
22-Jul,2014,1458
23-Jul,2014,725
24-Jul,2014,1565
25-Jul,2014,1155
26-Jul,2014,1235
27-Jul,2014,1278
28-Jul,2014,607
29-Jul,2014,653
30-Jul,2014,676
31-Jul,2014,683
1-Aug,2014,233
2-Aug,2014,223
3-Aug,2014,159
4-Aug,2014,396
5-Aug,2014,300
6-Aug,2014,532
7-Aug,2014,856
8-Aug,2014,291
9-Aug,2014,442
10-Aug,2014,420
11-Aug,2014,307
12-Aug,2014,255
13-Aug,2014,572
14-Aug,2014,569
15-Aug,2014,111
16-Aug,2014,119
17-Aug,2014,56
18-Aug,2014,46
19-Aug,2014,130
20-Aug,2014,39
21-Aug,2014,46
22-Aug,2014,39
23-Aug,2014,46
24-Aug,2014,0
25-Aug,2014,0
26-Aug,2014,20
27-Aug,2014,33
28-Aug,2014,26
29-Aug,2014,0
30-Aug,2014,13
31-Aug,2014,26
1-Sep,2014,7
2-Sep,2014,13
3-Sep,2014,0
4-Sep,2014,0
5-Sep,2014,7
6-Sep,2014,0
7-Sep,2014,7
8-Sep,2014,0
9-Sep,2014,0
10-Sep,2014,0
11-Sep,2014,0
12-Sep,2014,0
13-Sep,2014,0
14-Sep,2014,0
15-Sep,2014,0
16-Sep,2014,0
17-Sep,2014,0
18-Sep,2014,0
19-Sep,2014,0
20-Sep,2014,0
21-Sep,2014,0
22-Sep,2014,0
23-Sep,2014,0
24-Sep,2014,0
25-Sep,2014,0
26-Sep,2014,0
27-Sep,2014,0
28-Sep,2014,0
29-Sep,2014,0
30-Sep,2014,0
1-Oct,2014,0
2-Oct,2014,0
12-Jun,2015,87
13-Jun,2015,0
14-Jun,2015,61
15-Jun,2015,46
16-Jun,2015,174
17-Jun,2015,185
18-Jun,2015,214
19-Jun,2015,96
20-Jun,2015,267
21-Jun,2015,997
22-Jun,2015,453
23-Jun,2015,469
24-Jun,2015,535
25-Jun,2015,561
26-Jun,2015,832
27-Jun,2015,1110
28-Jun,2015,1207
29-Jun,2015,746
30-Jun,2015,992
1-Jul,2015,1221
2-Jul,2015,1161
3-Jul,2015,923
4-Jul,2015,930
5-Jul,2015,890
6-Jul,2015,1035
7-Jul,2015,1616
8-Jul,2015,834
9-Jul,2015,995
10-Jul,2015,1119
11-Jul,2015,1315
12-Jul,2015,824
13-Jul,2015,325
14-Jul,2015,611
15-Jul,2015,748
16-Jul,2015,608
17-Jul,2015,953
18-Jul,2015,595
19-Jul,2015,969
20-Jul,2015,458
21-Jul,2015,436
22-Jul,2015,735
23-Jul,2015,650
24-Jul,2015,661
25-Jul,2015,438
26-Jul,2015,377
27-Jul,2015,609
28-Jul,2015,423
29-Jul,2015,327
30-Jul,2015,193
31-Jul,2015,146
1-Aug,2015,99
2-Aug,2015,245
3-Aug,2015,154
4-Aug,2015,102
5-Aug,2015,163
6-Aug,2015,102
7-Aug,2015,189
8-Aug,2015,70
9-Aug,2015,79
10-Aug,2015,20
11-Aug,2015,46
12-Aug,2015,39
13-Aug,2015,65
14-Aug,2015,7
15-Aug,2015,59
16-Aug,2015,71
17-Aug,2015,84
18-Aug,2015,36
19-Aug,2015,39
20-Aug,2015,0
21-Aug,2015,11
22-Aug,2015,0
23-Aug,2015,13
24-Aug,2015,0
25-Aug,2015,0
26-Aug,2015,13
27-Aug,2015,33
28-Aug,2015,7
29-Aug,2015,0
30-Aug,2015,13
31-Aug,2015,0
1-Sep,2015,0
2-Sep,2015,0
3-Sep,2015,0
4-Sep,2015,7
5-Sep,2015,0
6-Sep,2015,0
7-Sep,2015,7
8-Sep,2015,0
9-Sep,2015,0
10-Sep,2015,0
11-Sep,2015,0
12-Sep,2015,0
13-Sep,2015,0
14-Sep,2015,0
15-Sep,2015,0
16-Sep,2015,0
17-Sep,2015,0
18-Sep,2015,0
19-Sep,2015,0
20-Sep,2015,0
21-Sep,2015,0
22-Sep,2015,0
23-Sep,2015,0
24-Sep,2015,0
25-Sep,2015,0
26-Sep,2015,0
27-Sep,2015,0
28-Sep,2015,0
29-Sep,2015,0
30-Sep,2015,0
1-Oct,2015,0
2-Oct,2015,0
12-Jun,2016,193
13-Jun,2016,420
14-Jun,2016,303
15-Jun,2016,315
16-Jun,2016,389
17-Jun,2016,644
18-Jun,2016,495
19-Jun,2016,665
20-Jun,2016,1639
21-Jun,2016,1357
22-Jun,2016,2214
23-Jun,2016,1905
24-Jun,2016,679
25-Jun,2016,1824
26-Jun,2016,2134
27-Jun,2016,1625
28-Jun,2016,2615
29-Jun,2016,2870
30-Jun,2016,2477
1-Jul,2016,3214
2-Jul,2016,2768
3-Jul,2016,1506
4-Jul,2016,3222
5-Jul,2016,1650
6-Jul,2016,2448
7-Jul,2016,1060
8-Jul,2016,569
9-Jul,2016,779
10-Jul,2016,1027
11-Jul,2016,1039
12-Jul,2016,2253
13-Jul,2016,1420
14-Jul,2016,1115
15-Jul,2016,864
16-Jul,2016,1573
17-Jul,2016,924
18-Jul,2016,1017
19-Jul,2016,665
20-Jul,2016,436
21-Jul,2016,539
22-Jul,2016,354
23-Jul,2016,369
24-Jul,2016,724
25-Jul,2016,588
26-Jul,2016,532
27-Jul,2016,471
28-Jul,2016,333
29-Jul,2016,77
30-Jul,2016,135
31-Jul,2016,151
1-Aug,2016,36
2-Aug,2016,0
3-Aug,2016,44
4-Aug,2016,102
5-Aug,2016,40
6-Aug,2016,69
7-Aug,2016,64
8-Aug,2016,39
9-Aug,2016,46
10-Aug,2016,33
11-Aug,2016,33
12-Aug,2016,39
13-Aug,2016,26
14-Aug,2016,13
15-Aug,2016,26
16-Aug,2016,33
17-Aug,2016,16
18-Aug,2016,13
19-Aug,2016,16
20-Aug,2016,7
21-Aug,2016,14
22-Aug,2016,27
23-Aug,2016,33
24-Aug,2016,7
25-Aug,2016,13
26-Aug,2016,20
27-Aug,2016,0
28-Aug,2016,0
29-Aug,2016,0
30-Aug,2016,13
31-Aug,2016,0
1-Sep,2016,0
2-Sep,2016,0
3-Sep,2016,0
4-Sep,2016,0
5-Sep,2016,0
6-Sep,2016,0
7-Sep,2016,0
8-Sep,2016,0
9-Sep,2016,0
10-Sep,2016,0
11-Sep,2016,0
12-Sep,2016,0
13-Sep,2016,0
14-Sep,2016,0
15-Sep,2016,0
16-Sep,2016,0
17-Sep,2016,0
18-Sep,2016,0
19-Sep,2016,0
20-Sep,2016,0
21-Sep,2016,0
22-Sep,2016,0
23-Sep,2016,0
24-Sep,2016,0
25-Sep,2016,0
26-Sep,2016,0
27-Sep,2016,0
28-Sep,2016,0
29-Sep,2016,0
30-Sep,2016,0
1-Oct,2016,0
2-Oct,2016,0
12-Jun,2017,728
13-Jun,2017,332
14-Jun,2017,1281
15-Jun,2017,1359
16-Jun,2017,2039
17-Jun,2017,2124
18-Jun,2017,1964
19-Jun,2017,2563
20-Jun,2017,2448
21-Jun,2017,2071
22-Jun,2017,2230
23-Jun,2017,4342
24-Jun,2017,2797
25-Jun,2017,3482
26-Jun,2017,4319
27-Jun,2017,4665
28-Jun,2017,3614
29-Jun,2017,5585
30-Jun,2017,3877
1-Jul,2017,4481
2-Jul,2017,6286
3-Jul,2017,5411
4-Jul,2017,7466
5-Jul,2017,5562
6-Jul,2017,2126
7-Jul,2017,5496
8-Jul,2017,4721
9-Jul,2017,4777
10-Jul,2017,4795
11-Jul,2017,3525
12-Jul,2017,2772
13-Jul,2017,2271
14-Jul,2017,1684
15-Jul,2017,2115
16-Jul,2017,1407
17-Jul,2017,1240
18-Jul,2017,1344
19-Jul,2017,1318
20-Jul,2017,1302
21-Jul,2017,995
22-Jul,2017,845
23-Jul,2017,790
24-Jul,2017,495
25-Jul,2017,266
26-Jul,2017,949
27-Jul,2017,742
28-Jul,2017,710
29-Jul,2017,777
30-Jul,2017,636
31-Jul,2017,443
1-Aug,2017,371
2-Aug,2017,256
3-Aug,2017,193
4-Aug,2017,224
5-Aug,2017,373
6-Aug,2017,533
7-Aug,2017,103
8-Aug,2017,98
9-Aug,2017,107
10-Aug,2017,255
11-Aug,2017,157
12-Aug,2017,137
13-Aug,2017,106
14-Aug,2017,46
15-Aug,2017,26
16-Aug,2017,110
17-Aug,2017,59
18-Aug,2017,26
19-Aug,2017,57
20-Aug,2017,33
21-Aug,2017,20
22-Aug,2017,14
23-Aug,2017,31
24-Aug,2017,46
25-Aug,2017,26
26-Aug,2017,7
27-Aug,2017,0
28-Aug,2017,13
29-Aug,2017,-7
30-Aug,2017,7
31-Aug,2017,0
1-Sep,2017,0
2-Sep,2017,0
3-Sep,2017,13
4-Sep,2017,0
5-Sep,2017,0
6-Sep,2017,13
7-Sep,2017,0
8-Sep,2017,0
9-Sep,2017,0
10-Sep,2017,0
11-Sep,2017,0
12-Sep,2017,0
13-Sep,2017,0
14-Sep,2017,0
15-Sep,2017,0
16-Sep,2017,0
17-Sep,2017,0
18-Sep,2017,0
19-Sep,2017,0
20-Sep,2017,0
21-Sep,2017,0
22-Sep,2017,0
23-Sep,2017,0
24-Sep,2017,0
25-Sep,2017,0
26-Sep,2017,0
27-Sep,2017,0
28-Sep,2017,0
29-Sep,2017,0
30-Sep,2017,0
1-Oct,2017,0
2-Oct,2017,0
12-Jun,2018,54
13-Jun,2018,26
14-Jun,2018,49
15-Jun,2018,15
16-Jun,2018,37
17-Jun,2018,37
18-Jun,2018,78
19-Jun,2018,66
20-Jun,2018,264
21-Jun,2018,140
22-Jun,2018,99
23-Jun,2018,89
24-Jun,2018,672
25-Jun,2018,354
26-Jun,2018,748
27-Jun,2018,1388
28-Jun,2018,937
29-Jun,2018,611
30-Jun,2018,962
1-Jul,2018,640
2-Jul,2018,1120
3-Jul,2018,2325
4-Jul,2018,2108
5-Jul,2018,765
6-Jul,2018,1404
7-Jul,2018,751
8-Jul,2018,1065
9-Jul,2018,1034
10-Jul,2018,690
11-Jul,2018,1173
12-Jul,2018,1201
13-Jul,2018,504
14-Jul,2018,716
15-Jul,2018,552
16-Jul,2018,287
17-Jul,2018,122
18-Jul,2018,512
19-Jul,2018,396
20-Jul,2018,518
21-Jul,2018,462
22-Jul,2018,533
23-Jul,2018,607
24-Jul,2018,288
25-Jul,2018,373
26-Jul,2018,559
27-Jul,2018,310
28-Jul,2018,190
29-Jul,2018,173
