"","Sockeye","Chinook","Coho"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",1,0,0
"10",1.62506912583063,0,0
"11",3.06965279179651,0,0
"12",4.92036551451451,0,0
"13",7.07644732844451,0,0
"14",9.43401076568171,0,0
"15",12.9059068659249,0,0
"16",17.1037376263625,0,0
"17",22.7061291950084,0,0
"18",29.2315381198597,0,0
"19",38.3676828993156,0,0
"20",49.1455988065539,0,0
"21",62.8138254804652,0,0
"22",80.6763326699687,0,0
"23",101.73200588373,0,0
"24",127.943747039409,0,0
"25",159.478744501283,0,0
"26",197.497587316163,0,0
"27",242.240466037341,0,0
"28",295.711700066954,0,0
"29",358.501429926517,0,0
"30",431.094177488103,0,0
"31",516.041166916836,0,0
"32",613.118192320486,0,0
"33",724.988568635693,0,0
"34",852.275696976381,0,0
"35",994.343603581446,0,0
"36",1153.35212499497,0,0
"37",1329.96556411168,0,0
"38",1524.06867378359,0,0
"39",1736.66614998164,0,0
"40",1966.21012092768,0,0
"41",2214.47087488148,0,0
"42",2476.42467003986,0,0
"43",2752.32695610124,0,0
"44",3037.93664938632,0,0
"45",3333.90148372749,0,0
"46",3636.21569278176,0,0
"47",3939.1832858795,0,0
"48",4238.86753883018,0,0
"49",4534.77102872855,0,0
"50",4821.59608233779,0,0
"51",5094.76945075492,0,0
"52",5350.18061845178,0,0
"53",5583.3984613899,0,0
"54",5788.23562188471,1,0
"55",5959.76841959139,1.75839866363775,0
"56",6096.45558572065,2.33358294136153,0
"57",6201.13202181112,3.76982647388944,0
"58",6262.11903539618,4.85915365477597,0
"59",6287.00480840106,6.68540879603101,0
"60",6270.73952543275,9.07067752559705,0
"61",6216.85427854694,10.880148156315,0
"62",6121.06891755386,14.2528590274706,0
"63",5983.75355259852,17.8116383870041,0
"64",5816.90228526953,22.5122247207326,0
"65",5612.61609722093,27.0791051209168,0
"66",5379.4072260234,33.5451148617074,0
"67",5123.37085747068,40.4534803208411,0
"68",4848.31927300085,48.6987204896112,0
"69",4555.7003510442,57.9593410080137,0
