"","Sockeye","Chinook","Coho"
"155",4.93951016633884e-10,1.01943992461394,22.7083435327142
"156",3.25124175929605e-10,0.814469864597287,16.2053520813183
"157",2.03139856405787e-10,0.617762558721223,10.6426712499546
"158",1.26923201397056e-10,0.468635694686297,6.34441650253925
"159",7.93025029056676e-11,0.355445882065953,3.77167313102285
"160",4.95487578148128e-11,0.269609488318011,2.2426956502349
"161",3.09584100253595e-11,0.204481005345072,1.33214252075815
"162",1.93430308561993e-11,0.155079467822286,0.791029459393151
"163",1.20856608074314e-11,0.11761441946696,0.469724595948743
"164",7.55120530170021e-12,0.0891981896428636,0.278894535274172
"165",4.71804582446694e-12,0.0676476363810705,0.165590693355505
